,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
67215,51153901306,0,0,0,,,0
67216,51153901012,0,0,0,,,0
67217,51153901305,0,0,0,,,0
67218,51121021200,0,0,1,,,1
67219,51121020500,0,0,1,,,1
67220,51121021400,0,0,1,,,1
67221,51121020400,0,0,1,,,1
67222,51127700100,0,0,0,,,0
67223,51127700300,0,0,0,,,0
67224,51127700200,0,0,0,,,0
67225,51015071000,0,0,1,,,1
67226,51015070100,0,0,1,,,1
67227,51015070800,0,1,1,,,1
67228,51015070200,0,0,1,,,1
67229,51015070300,0,1,1,,,1
67230,51015070500,0,0,1,,,1
67231,51015070600,0,1,1,,,1
67232,51015070900,0,1,1,,,1
67233,51015070400,0,0,1,,,1
67234,51015071200,1,0,1,0.0,0.3402650043649664,0
67235,51015070700,0,1,1,,,1
67236,51710001500,0,0,1,,,1
67237,51710000700,0,1,1,,,1
67238,51710001100,1,0,1,0.0,0.34706105275979243,0
67239,51710001400,0,0,1,,,1
67240,51710003100,0,0,1,,,1
67241,51710002100,0,0,0,,,0
67242,51710002300,0,0,0,,,0
67243,51710005000,1,0,1,4.0,0.24452490394565898,0
67244,51710005601,0,1,1,,,1
67245,51710006603,0,0,1,,,1
67246,51710007002,0,0,1,,,1
67247,51710000500,0,0,1,,,1
67248,51710001300,0,0,1,,,1
67249,51710001700,0,0,1,,,1
67250,51710006501,0,0,1,,,1
67251,51710003800,0,0,0,,,0
67252,51710004900,0,1,1,,,1
67253,51710005100,0,0,1,,,1
67254,51710005701,1,0,1,0.0,0.3175315763021316,0
67255,51710006602,0,1,1,,,1
67256,51710006606,0,0,1,,,1
67257,51710000300,0,0,1,,,1
67258,51710006902,0,0,1,,,1
67259,51710007001,1,0,1,0.0,0.09248028623919302,0
67260,51710006800,1,0,1,4.0,0.31502290864202265,0
67261,51710006901,1,0,1,0.0,0.21356167445810928,0
67262,51710000100,0,0,1,,,1
67263,51710000201,0,0,1,,,1
67264,51710001200,0,1,1,,,1
67265,51710003200,0,0,1,,,1
67266,51710003300,0,0,1,,,1
